HASHID,Version,Storage,Wells,Drains
9541984ae0f6f84c5fdac7f301298700,TRBAR96,8252555264,2120608512,20686280704
9541984ae0f6f84c5fdac7f301298700,TRMAC96,11542495232,2120614912,33123856384
9541984ae0f6f84c5fdac7f301298700,TRNAT96,11499490304,2120614912,32092094464
9541984ae0f6f84c5fdac7f301298700,TRold96,8921156608,2117329152,20542861312
97c89200bb7073d8dccb82326c83908b,TRBAR96,8252550656,2123619072,20683286528
97c89200bb7073d8dccb82326c83908b,TRMAC96,11542501376,2123626624,33120868352
97c89200bb7073d8dccb82326c83908b,TRNAT96,11499489280,2123626624,32089122816
97c89200bb7073d8dccb82326c83908b,TRold96,8921156608,2120338176,20539871232
981b800a48512aeb7abccb466f6d4b79,TRBAR96,8241964544,2365603584,20454602752
981b800a48512aeb7abccb466f6d4b79,TRMAC96,11541342208,2365620480,32893763584
981b800a48512aeb7abccb466f6d4b79,TRNAT96,11498964992,2365620480,31863222272
981b800a48512aeb7abccb466f6d4b79,TRold96,8882203648,2309290752,20331870208
9a749d4e80da9b319e7417f56ed1cfe5,TRBAR96,8253960704,2439319808,20392882176
9a749d4e80da9b319e7417f56ed1cfe5,TRMAC96,11542539264,2439324672,32820217856
9a749d4e80da9b319e7417f56ed1cfe5,TRNAT96,11500270592,2439324672,31791001600
9a749d4e80da9b319e7417f56ed1cfe5,TRold96,8877581312,2383329024,20261900288
9c3a8c5cbe430bda29f226843f572895,TRBAR96,8253948416,2161401856,20648638464
9c3a8c5cbe430bda29f226843f572895,TRMAC96,11543368704,2161410048,33082607616
9c3a8c5cbe430bda29f226843f572895,TRNAT96,11500559360,2161410048,32050333696
9c3a8c5cbe430bda29f226843f572895,TRold96,8874885120,2105637248,20518584320
a30b0059a7e49f5454670a05284efd4b,TRBAR96,8252564992,2111091584,20695449600
a30b0059a7e49f5454670a05284efd4b,TRMAC96,11542505472,2111097856,33132951552
a30b0059a7e49f5454670a05284efd4b,TRNAT96,11499435008,2111097856,32101464064
a30b0059a7e49f5454670a05284efd4b,TRold96,8921372672,2107812352,20551219200
a3e6838a3feda1321782d5aab8e0acf0,TRBAR96,8255394304,2310690816,20516106240
a3e6838a3feda1321782d5aab8e0acf0,TRMAC96,11542257664,2310699264,32946565120
a3e6838a3feda1321782d5aab8e0acf0,TRNAT96,11500338176,2310699264,31915022336
a3e6838a3feda1321782d5aab8e0acf0,TRold96,8878735360,2254489600,20385265664
a40e086771550c546e19e05698fe75db,TRBAR96,8254600192,2295276288,20528009216
a40e086771550c546e19e05698fe75db,TRMAC96,11542817792,2295283712,32959666176
a40e086771550c546e19e05698fe75db,TRNAT96,11500379136,2295283712,31927085056
a40e086771550c546e19e05698fe75db,TRold96,8879738880,2239216384,20393717760
a53e05559e07e087b82b1b565ee521ca,TRBAR96,8254289408,2217562368,20599605248
a53e05559e07e087b82b1b565ee521ca,TRMAC96,11542469632,2217568768,33034622976
a53e05559e07e087b82b1b565ee521ca,TRNAT96,11500007424,2217568768,32001101824
a53e05559e07e087b82b1b565ee521ca,TRold96,8924141568,2161466880,20497571840
a8112dab804d41719690b939259d3f12,TRBAR96,8255694848,2343269632,20478828544
a8112dab804d41719690b939259d3f12,TRMAC96,11543011328,2403916032,32854726656
a8112dab804d41719690b939259d3f12,TRNAT96,11500699648,2403916032,31825428480
a8112dab804d41719690b939259d3f12,TRold96,8876157952,2337404672,20304713728
aaf19b7cabe275f2fce8fdf2bf7fdaca,TRBAR96,8252546048,2120782080,20685985792
aaf19b7cabe275f2fce8fdf2bf7fdaca,TRMAC96,11542493184,2120788608,33123598336
aaf19b7cabe275f2fce8fdf2bf7fdaca,TRNAT96,11499429888,2120788608,32092012544
aaf19b7cabe275f2fce8fdf2bf7fdaca,TRold96,8921146368,2117502720,20542535680
b2bd8251bc5e6b1d37c342761757caa6,TRBAR96,8252547584,2122720640,20684107776
b2bd8251bc5e6b1d37c342761757caa6,TRMAC96,11542496256,2122726528,33121701888
b2bd8251bc5e6b1d37c342761757caa6,TRNAT96,11499426816,2122726528,32090107904
b2bd8251bc5e6b1d37c342761757caa6,TRold96,8921153536,2119440000,20540665856
b459210bea089ef722642de12cec6d7f,TRBAR96,8255937024,2178295296,20632625152
b459210bea089ef722642de12cec6d7f,TRMAC96,11543094272,2242386176,33010878464
b459210bea089ef722642de12cec6d7f,TRNAT96,11500430336,2242386176,31978217472
b459210bea089ef722642de12cec6d7f,TRold96,8925161472,2172188416,20486514688
b7094b350398caae47b368ee5641421e,TRBAR96,8252539904,2117436032,20689278976
b7094b350398caae47b368ee5641421e,TRMAC96,11542491136,2117443200,33126950912
b7094b350398caae47b368ee5641421e,TRNAT96,11499431936,2117443200,32095336448
b7094b350398caae47b368ee5641421e,TRold96,8921144320,2114156160,20545859584
b94ff8e2919768cb05703bbc3fde867c,TRBAR96,8252362752,2121851776,20684800000
b94ff8e2919768cb05703bbc3fde867c,TRMAC96,11542531072,2121859968,33122281472
b94ff8e2919768cb05703bbc3fde867c,TRNAT96,11499523072,2121859968,32090634240
b94ff8e2919768cb05703bbc3fde867c,TRold96,8921104384,2118737024,20540463104
bbf422b9daf547b5678be578b175e547,TRBAR96,8253606912,2391686144,20435275776
bbf422b9daf547b5678be578b175e547,TRMAC96,11542267904,2391691008,32864206848
bbf422b9daf547b5678be578b175e547,TRNAT96,11499967488,2391691008,31834806272
bbf422b9daf547b5678be578b175e547,TRold96,8875810816,2335583744,20306669568
bda23083192761fd57f5ac3160dc18f2,TRBAR96,8254222848,2310253312,20513703936
bda23083192761fd57f5ac3160dc18f2,TRMAC96,11542294528,2310259968,32944963584
bda23083192761fd57f5ac3160dc18f2,TRNAT96,11500054528,2310259968,31913943040
bda23083192761fd57f5ac3160dc18f2,TRold96,8877344768,2257593856,20381184000
be68398622fa4b4bb7e278bd4fcba93a,TRBAR96,8253988352,2133417216,20676378624
be68398622fa4b4bb7e278bd4fcba93a,TRMAC96,11542808576,2133422336,33112059904
be68398622fa4b4bb7e278bd4fcba93a,TRNAT96,11500058624,2133422336,32078616576
be68398622fa4b4bb7e278bd4fcba93a,TRold96,8921060352,2077405952,20573911040
c0f3c9094c353bf4f72b48987a774955,TRBAR96,8241835520,2399634944,20421826560
c0f3c9094c353bf4f72b48987a774955,TRMAC96,11542232064,2399651072,32860182528
c0f3c9094c353bf4f72b48987a774955,TRNAT96,11499695104,2399651072,31830513664
c0f3c9094c353bf4f72b48987a774955,TRold96,8875528192,2343496448,20301983744
c103988ee9af2d0080d9874dfcef7997,TRBAR96,8252620288,2127461376,20679964672
c103988ee9af2d0080d9874dfcef7997,TRMAC96,11542465536,2127467264,33117775872
c103988ee9af2d0080d9874dfcef7997,TRNAT96,11499323392,2127467264,32085977088
c103988ee9af2d0080d9874dfcef7997,TRold96,8945156096,2123795712,20534079488
